Eddard, Stark, Ned@westeros.net, Research and Development, 143
Benjen, Stark, ColdHands@westeros.net, Auditing, 637
Catelyn, Stark, Mother@westeros.net, Human Resources, 331
Arya, Stark, A_Girl@westeros.net, Research and Development, 187
Robb, Stark, YoungWolf@westeros.net, Research and Development, 170
Sansa, Stark, LittleDove@westeros.net, Research and Development, 125
Bran, Stark, TheRaven@westeros.net, Research and Development, 114
Rickon, Stark, Shaggydog@westeros.net, Research and Development, 105
Jon, Snow, TheGhostBrother@westeros.net, Auditing, 659
Tyrion, Lannister, TheImp@westeros.net, Accounting, 495
Jaime, Lannister, TheGoldenHand@westeros.net, Accounting, 415
Cersei, Lannister, TheLionQueen@westeros.net, Accounting, 443
Robert, Baratheon, TheUsurper@westeros.net, Sales, 502
Stannis, Baratheon, ThePromised@westeros.net, Sales, 506
Renly, Baratheon, SummerKing@westeros.net, Sales, 590
Daenerys, Targaryen, MotherOfDragons@westeros.net, Marketing, 271
Viserys, Targaryen, GoldenKing@westeros.net, Marketing, 249
